TIME,N_0:1,N_2:1,N_8:1
26,1759.07134612,1759.07134612,1759.07134612
26.1,1814.90257018,1814.90257018,1814.90257018
26.2,1872.50557133,1872.50557133,1872.50557133
26.3,1931.93655982,1931.93655982,1931.93655982
26.4,1993.25352814,1993.25352814,1993.25352814
26.5,2056.51630745,2056.51630745,2056.51630745
26.6,2121.78662582,2121.78662582,2121.78662582
26.7,2189.12816832,2189.12816832,2189.12816832
26.8,2258.60663892,2258.60663892,2258.60663892
26.9,2330.28982445,2330.28982445,2330.28982445
27,2404.24766051,2404.24766051,2404.24766051
27.1,2480.55229953,2480.55229953,2480.55229953
27.2,2559.27818087,2559.27818087,2559.27818087
27.3,2640.50210325,2640.50210325,2640.50210325
27.4,2724.30329938,2724.30329938,2724.30329938
27.5,2810.76351299,2810.76351299,2810.76351299
27.6,2899.96707827,2899.96707827,2899.96707827
27.7,2992.00100181,2992.00100181,2992.00100181
27.8,3086.95504715,3086.95504715,3086.95504715
27.9,3184.92182193,3184.92182193,3184.92182193
28,3285.99686792,3285.99686792,3285.99686792
28.1,3390.27875371,3390.27875371,3390.27875371
28.2,3497.86917044,3497.86917044,3497.86917044
28.3,3608.87303053,3608.87303053,3608.87303053
28.4,3723.39856947,3723.39856947,3723.39856947
28.5,3841.55745086,3841.55745086,3841.55745086
28.6,3963.46487473,3963.46487473,3963.46487473
28.7,4089.23968925,4089.23968925,4089.23968925
28.8,4219.00450603,4219.00450603,4219.00450603
28.9,4352.88581894,4352.88581894,4352.88581894
29,4491.01412672,4491.01412672,4491.01412672
29.1,4633.52405947,4633.52405947,4633.52405947
29.2,4780.55450901,4780.55450901,4780.55450901
29.3,4932.24876348,4932.24876348,4932.24876348
29.4,5088.754646,5088.754646,5088.754646
29.5,5250.2246578,5250.2246578,5250.2246578
29.6,5416.81612581,5416.81612581,5416.81612581
29.7,5588.69135485,5588.69135485,5588.69135485
29.8,5766.01778457,5766.01778457,5766.01778457
29.9,5948.96815139,5948.96815139,5948.96815139
30,6137.72065542,4901.65427401,1219.0218761
30.1,6332.45913264,5004.78429677,1206.38614277
30.2,6533.37323247,5110.08273662,1193.88138475
30.3,6740.65860089,5217.59512631,1181.50624441
30.4,6954.51706925,5327.36795214,1169.2593782
30.5,7175.15684902,5439.44867377,1157.13945651
30.6,7402.79273259,5553.88574456,1145.1451635
30.7,7637.64630032,5670.72863218,1133.27519696
30.8,7879.94613411,5790.02783977,1121.5282682
30.9,8129.92803753,5911.83492746,1109.90310186
31,8387.83526289,6036.20253436,1098.39843583
31.1,8653.91874533,6163.18440104,1087.01302106
31.2,8928.43734418,6292.83539234,1075.74562145
31.3,9211.65809187,6425.21152085,1064.59501373
31.4,9503.85645052,6560.36997065,1053.55998729
31.5,9805.3165765,6698.36912173,1042.63934408
31.6,10116.33159325,6839.26857481,1031.83189845
31.7,10437.20387247,6983.12917664,1021.13647708
31.8,10768.24532408,7130.0130459,1010.55191876
31.9,11109.77769511,7279.98359961,1000.07707435
32,11462.13287787,7433.10558002,989.71080662
32.1,11825.65322759,7589.4450821,979.45199012
32.2,12200.69188991,7749.0695816,969.29951107
32.3,12587.61313843,7912.04796365,959.25226722
32.4,12986.79272266,8078.45055197,949.30916777
32.5,13398.61822669,8248.34913864,939.46913321
32.6,13823.48943891,8421.81701451,929.73109523
32.7,14261.81873299,8598.92900022,920.09399658
32.8,14714.03146066,8779.76147783,910.55679097
32.9,15180.56635643,8964.39242314,901.11844298
33,15661.87595476,9152.90143857,891.77792789
33.1,16158.42701993,9345.36978685,882.53423162
33.2,16670.70098908,9541.88042526,873.3863506
33.3,17199.19442871,9742.51804063,864.33329165
33.4,17744.4195051,9947.36908501,855.37407191
33.5,18306.90446902,10156.52181215,846.50771868
33.6,18887.1941552,10370.06631455,837.73326937
33.7,19485.85049686,10588.09456146,829.04977134
