TIME,NIC:1,NIA:1,NIE:1
20.2,0.020279,1.41942978,0.81334079
20.3,0.02092263,1.46447746,0.83915286
20.4,0.02158668,1.51095449,0.8657839
20.5,0.02227181,1.55890617,0.89325987
20.6,0.02297868,1.60837929,0.92160758
20.7,0.02370798,1.65942208,0.95085466
20.8,0.02446043,1.71208433,0.98102964
20.9,0.02523675,1.76641739,1.01216193
21,0.0260377,1.82247425,1.04428189
21.1,0.02686407,1.88030955,1.07742084
21.2,0.02771666,1.9399797,1.11161107
21.3,0.02859631,2.00154287,1.14688593
21.4,0.02950387,2.06505907,1.18327979
21.5,0.03044022,2.13059024,1.22082813
21.6,0.03140629,2.19820024,1.25956754
21.7,0.032403,2.26795498,1.29953578
21.8,0.03343135,2.33992245,1.3407718
21.9,0.03449231,2.4141728,1.38331578
22,0.03558695,2.49077837,1.42720917
22.1,0.03671631,2.56981383,1.47249475
22.2,0.0378815,2.65135619,1.51921663
22.3,0.03908366,2.7354849,1.56742032
22.4,0.04032396,2.82228193,1.61715277
22.5,0.04160361,2.91183183,1.66846244
22.6,0.04292385,3.00422183,1.72139928
22.7,0.04428598,3.09954194,1.77601485
22.8,0.04569132,3.19788499,1.83236233
22.9,0.04714124,3.29934675,1.89049659
23,0.04863716,3.40402603,1.95047422
23.1,0.05018053,3.51202476,2.0123536
23.2,0.05177285,3.62344808,2.07619497
23.3,0.05341569,3.73840446,2.14206045
23.4,0.05511063,3.85700582,2.21001415
23.5,0.05685934,3.97936758,2.28012219
23.6,0.05866351,4.10560883,2.35245277
23.7,0.0605249,4.23585241,2.42707626
23.8,0.06244533,4.37022506,2.50406524
23.9,0.06442667,4.50885749,2.58349459
24,0.06647084,4.65188457,2.66544155
24.1,0.06857984,4.79944541,2.74998578
24.2,0.07075573,4.95168351,2.83720949
24.3,0.07300061,5.10874691,2.92719745
24.4,0.07531668,5.2707883,3.02003711
24.5,0.07770619,5.43796521,3.11581869
24.6,0.08017147,5.61044013,3.21463525
24.7,0.08271492,5.78838066,3.31658278
24.8,0.08533901,5.97195972,3.42176028
24.9,0.08804629,6.16135563,3.53026989
25,0.09083941,6.35675238,3.64221696
25.1,0.09372108,6.55833972,3.75771015
25.2,0.0966941,6.76631339,3.87686155
25.3,0.09976136,6.98087529,3.99978678
25.4,0.10292585,7.20223369,4.12660507
25.5,0.10619065,7.4306034,4.25743944
25.6,0.10955892,7.66620599,4.39241674
25.7,0.11303395,7.90927,4.53166784
25.8,0.11661912,8.16003117,4.6753277
25.9,0.1203179,8.41873264,4.82353552
26,0.12413389,8.68562519,4.97643488
26.1,0.1280708,8.96096747,5.13417387
26.2,0.13213245,9.24502628,5.29690522
26.3,0.1363228,9.53807678,5.46478644
26.4,0.1406459,9.84040276,5.63798
26.5,0.14510596,10.15229693,5.81665344
26.6,0.1497073,10.47406116,6.00097956
26.7,0.1544544,10.80600681,6.19113659
26.8,0.15935186,11.14845496,6.3873083
26.9,0.16440442,11.50173679,6.58968423
27,0.169617,11.86619382,6.79845986
