TIME,I_8:1,I_7:1,I_grad:1
17.9,268.73973976,268.73973976,268.73992545
18,277.2703964,277.2703964,277.27058906
18.1,286.07184138,286.07184138,286.07204126
18.2,295.1526702,295.1526702,295.15287757
18.3,304.5217512,304.5217512,304.52196633
18.4,314.18823422,314.18823422,314.18845738
18.5,324.1615595,324.1615595,324.161791
18.6,334.45146695,334.45146695,334.45170709
18.7,345.06800565,345.06800565,345.06825475
18.8,356.02154363,356.02154363,356.021802
18.9,367.322778,367.322778,367.323046
19,378.98274546,378.98274546,378.98302342
19.1,391.01283296,391.01283296,391.01312126
19.2,403.42478894,403.42478894,403.42508795
19.3,416.23073472,416.23073472,416.23104483
19.4,429.44317636,429.44317636,429.44349796
19.5,443.07501687,443.07501687,443.0753504
19.6,457.13956883,457.13956883,457.13991471
19.7,471.65056734,471.65056734,471.65092602
19.8,486.62218349,486.62218349,486.62255543
19.9,502.06903813,502.06903813,502.06942382
20,514.40896971,514.85862552,516.20799137
20.1,509.07831411,512.18397981,521.61313671
20.2,503.80289814,509.52322808,527.07487622
20.3,498.58214937,506.87629816,532.59380242
20.4,493.41550133,504.24311827,538.17051402
20.5,488.30239338,501.62361698,543.80561601
20.6,483.24227071,499.01772323,549.4997197
20.7,478.23458427,496.42536635,555.25344281
20.8,473.27879067,493.84647603,561.06740952
20.9,468.37435218,491.28098231,566.94225055
21,463.52073663,488.7288156,572.87860321
21.1,458.71741735,486.18990669,578.8771115
21.2,453.96387316,483.66418671,584.93842614
21.3,449.25958826,481.15158714,591.06320467
21.4,444.60405219,478.65203984,597.25211153
21.5,439.99675978,476.16547702,603.50581808
21.6,435.43721112,473.69183121,609.82500274
21.7,430.92491145,471.23103534,616.21035101
21.8,426.45937116,468.78302265,622.66255557
21.9,422.04010569,466.34772674,629.18231636
22,417.66663552,463.92508156,635.77034063
22.1,413.3384861,461.51502139,642.42734305
22.2,409.05518777,459.11748087,649.15404577
22.3,404.81627578,456.73239496,655.95117847
22.4,400.62129016,454.35969896,662.81947851
22.5,396.46977573,451.99932853,669.75969093
22.6,392.361282,449.65121963,676.7725686
22.7,388.29536317,447.31530857,683.85887224
22.8,384.27157807,444.99153201,691.01937056
22.9,380.28949006,442.67982689,698.25484029
23,376.34866707,440.38013053,705.56606632
23.1,372.44868148,438.09238053,712.95384172
23.2,368.58911011,435.81651486,720.4189679
23.3,364.76953416,433.55247177,727.96225461
23.4,360.98953918,431.30018986,735.58452012
23.5,357.24871501,429.05960803,743.28659125
23.6,353.54665573,426.8306655,751.06930345
23.7,349.88295964,424.61330182,758.93350095
23.8,346.2572292,422.40745685,766.8800368
23.9,342.66907099,420.21307074,774.90977298
24,339.11809565,418.03008398,783.02358047
24.1,335.60391788,415.85843736,791.22233941
24.2,332.12615636,413.69807196,799.50693911
24.3,328.68443372,411.5489292,807.87827821
24.4,325.2783765,409.41095076,816.33726476
24.5,321.90761512,407.28407867,824.88481629
24.6,318.57178383,405.16825523,833.52185994
24.7,315.27052064,403.06342304,842.24933258
24.8,312.00346736,400.96952502,851.06818085
24.9,308.77026947,398.88650437,859.97936131
25,305.57057614,396.81430458,868.98384054
25.1,302.40404019,394.75286945,878.08259523
25.2,299.270318,392.70214305,887.27661227
25.3,296.16906956,390.66206978,896.56688892
25.4,293.09995833,388.63259427,905.95443284
25.5,290.0626513,386.6136615,915.44026226
25.6,287.0568189,384.60521668,925.02540605
25.7,284.08213495,382.60720535,934.71090385
25.8,281.13827669,380.61957331,944.49780619
25.9,278.22492468,378.64226664,954.38717458
26,275.34176279,376.6752317,964.38008165
26.1,272.48847817,374.71841514,974.47761124
26.2,269.66476122,372.77176388,984.68085856
26.3,266.87030554,370.83522512,994.99093025
26.4,264.1048079,368.90874633,1005.40894455
26.5,261.36796823,366.99227524,1015.93603139
26.6,258.65948955,365.08575989,1026.57333253
26.7,255.97907796,363.18914854,1037.32200169
26.8,253.32644263,361.30238975,1048.18320464
26.9,250.7012957,359.42543235,1059.15811936
27,248.10335234,357.55822542,1068.38990822
27.1,245.53233063,355.70071831,1068.3894084
27.2,242.98795161,353.85286063,1068.38890417
27.3,240.46993918,352.01460227,1068.38839552
27.4,237.97802011,350.18589335,1068.38788248
27.5,235.51192401,348.36668427,1068.38736502
