TIME,I_8:1,I_65:1
30.2,177.77320735,394.91969733
30.3,175.93099501,393.89248969
30.4,174.10787295,392.86795341
30.5,172.30364335,391.84608155
30.6,170.51811043,390.82686718
30.7,168.75108045,389.8103034
30.8,167.00236166,388.79638332
30.9,165.27176432,387.78510005
31,163.55910063,386.77644675
31.1,161.86418475,385.77041658
31.2,160.18683277,384.76700273
31.3,158.52686269,383.76619837
31.4,156.88409437,382.76799675
31.5,155.25834957,381.77239108
31.6,153.64945187,380.77937462
31.7,152.05722669,379.78894063
31.8,150.48150127,378.80108241
31.9,148.92210461,377.81579326
32,147.37886751,376.83306649
32.1,145.85162252,375.85289545
32.2,144.3402039,374.87527349
32.3,142.84444767,373.90019399
32.4,141.36419151,372.92765033
32.5,139.8992748,371.95763592
32.6,138.44953859,370.99014419
32.7,137.01482556,370.02516858
32.8,135.59498003,369.06270254
32.9,134.18984794,368.10273956
33,132.79927681,367.14527312
33.1,131.42311577,366.19029673
33.2,130.06121546,365.23780392
33.3,128.71342813,364.28778824
33.4,127.37960752,363.34024324
33.5,126.0596089,362.3951625
33.6,124.75328903,361.45253962
33.7,123.46050616,360.51236819
33.8,122.18112003,359.57464186
33.9,120.91499179,358.63935426
34,119.66198407,357.70649905
34.1,118.4219609,356.7760699
34.2,117.19478772,355.84806052
34.3,115.98033137,354.92246461
34.4,114.77846008,353.99927589
34.5,113.58904343,353.07848811
34.6,112.41195236,352.16009503
34.7,111.24705913,351.24409041
34.8,110.09423735,350.33046805
34.9,108.95336192,349.41922176
35,107.82430906,348.51034535
35.1,106.70695623,347.60383267
35.2,105.60118221,346.69967756
35.3,104.506867,345.79787391
35.4,103.42389186,344.8984156
35.5,102.35213927,344.00129652
35.6,101.29149295,343.10651061
35.7,100.24183779,342.21405178
35.8,99.2030599,341.323914
35.9,98.17504657,340.43609122
36,97.15768624,339.55057742
36.1,96.15086851,338.66736662
36.2,95.15448415,337.78645281
36.3,94.16842503,336.90783002
36.4,93.19258415,336.0314923
36.5,92.22685563,335.15743371
36.6,91.27113468,334.28564832
36.7,90.32531758,333.41613022
36.8,89.38930171,332.54887351
36.9,88.46298551,331.68387232
37,87.54626845,330.82112079
37.1,86.63905106,329.96061305
37.2,85.74123491,329.10234329
37.3,84.85272257,328.24630567
37.4,83.97341762,327.39249441
37.5,83.10322466,326.54090369
37.6,82.24204925,325.69152777
37.7,81.38979796,324.84436087
37.8,80.5463783,323.99939725
37.9,79.71169876,323.15663119
38,78.88566877,322.31605696
38.1,78.06819868,321.47766888
38.2,77.2591998,320.64146125
38.3,76.45858435,319.80742841
38.4,75.66626544,318.97556471
38.5,74.88215711,318.1458645
38.6,74.10617426,317.31832216
38.7,73.33823271,316.49293207
38.8,72.57824911,315.66968865
38.9,71.826141,314.8485863
39,71.08182678,314.02961947
39.1,70.34522567,313.2127826
39.2,69.61625775,312.39807016
39.3,68.89484392,311.58547661
39.4,68.18090589,310.77499645
39.5,67.47436619,309.96662419
39.6,66.77514817,309.16035434
39.7,66.08317594,308.35618143
39.8,65.39837442,307.55410003
39.9,64.72066931,306.75410468
40,64.04998706,305.95618996
40.1,63.3862549,305.16035046
40.2,62.72940081,304.3665808
40.3,62.07935351,303.57487558
40.4,61.43604247,302.78522943
40.5,60.79939787,301.99763701
40.6,60.16935064,301.21209298
40.7,59.54583242,300.428592
40.8,58.92877553,299.64712877
40.9,58.31811303,298.86769798
41,57.71377866,298.09029436
41.1,57.11570682,297.31491263
41.2,56.52383264,296.54154753
41.3,55.93809188,295.77019382
41.4,55.35842099,295.00084628
41.5,54.78475706,294.23349968
41.6,54.21703785,293.46814882
41.7,53.65520176,292.70478851
41.8,53.09918781,291.94341358
41.9,52.54893568,291.18401887
42,52.00438565,290.42659922
42.1,51.46547864,289.6711495
42.2,50.93215618,288.91766458
42.3,50.40436038,288.16613937
42.4,49.88203398,287.41656876
42.5,49.36512031,286.66894767
42.6,48.85356326,285.92327103
42.7,48.34730734,285.17953379
42.8,47.8462976,284.4377309
42.9,47.35047969,283.69785733
43,46.8597998,282.95990807
43.1,46.37420468,282.22387812
43.2,45.89364165,281.48976247
43.3,45.41805856,280.75755616
43.4,44.94740381,280.02725422
43.5,44.48162632,279.2988517
43.6,44.02067554,278.57234366
43.7,43.56450147,277.84772517
43.8,43.11305461,277.12499132
43.9,42.66628596,276.40413721
44,42.22414705,275.68515795
44.1,41.7865899,274.96804867
44.2,41.35356704,274.2528045
44.3,40.92503147,273.5394206
44.4,40.50093669,272.82789212
44.5,40.08123669,272.11821425
44.6,39.66588592,271.41038217
44.7,39.25483931,270.70439107
44.8,38.84805227,270.00023618
44.9,38.44548064,269.29791272
45,38.04708075,268.59741593
45.1,37.65280937,267.89874106
45.2,37.26262372,267.20188336
45.3,36.87648144,266.50683812
45.4,36.49434066,265.81360062
45.5,36.11615989,265.12216616
45.6,35.7418981,264.43253005
45.7,35.37151468,263.74468762
45.8,35.00496944,263.0586342
45.9,34.64222261,262.37436514
46,34.28323482,261.6918758
46.1,33.92796713,261.01116156
46.2,33.57638097,260.33221779
46.3,33.2284382,259.65503989
46.4,32.88410107,258.97962327
46.5,32.5433322,258.30596336
46.6,32.20609463,257.63405557
46.7,31.87235175,256.96389537
46.8,31.54206737,256.29547819
46.9,31.21520562,255.62879952
47,30.89173105,254.96385483
47.1,30.57160856,254.3006396
47.2,30.25480341,253.63914935
47.3,29.94128123,252.97937959
47.4,29.63100799,252.32132584
47.5,29.32395002,251.66498364
47.6,29.02007401,251.01034855
47.7,28.71934698,250.35741611
47.8,28.4217363,249.70618191
47.9,28.12720968,249.05664153
48,27.83573515,248.40879056
48.1,27.5472811,247.76262461
48.2,27.26181621,247.1181393
48.3,26.97930952,246.47533026
48.4,26.69973036,245.83419313
48.5,26.42304841,245.19472356
48.6,26.14923364,244.55691722
48.7,25.87825633,243.92076977
48.8,25.61008708,243.28627692
48.9,25.3446968,242.65343435
49,25.08205668,242.02223777
49.1,24.82213823,241.3926829
49.2,24.56491325,240.76476548
49.3,24.31035381,240.13848124
49.4,24.0584323,239.51382594
49.5,23.80912139,238.89079535
49.6,23.56239401,238.26938523
49.7,23.31822341,237.64959137
49.8,23.07658307,237.03140958
49.9,22.83744679,236.41483566
50,22.60078861,235.79986542
50.1,22.36658285,235.1864947
50.2,22.1348041,234.57471934
50.3,21.90542722,233.96453518
50.4,21.6784273,233.3559381
50.5,21.45377971,232.74892397
50.6,21.23146009,232.14348866
50.7,21.01144431,231.53962807
50.8,20.79370849,230.93733811
50.9,20.578229,230.33661469
51,20.36498247,229.73745375
51.1,20.15394575,229.13985121
51.2,19.94509595,228.54380302
51.3,19.7384104,227.94930514
51.4,19.53386668,227.35635355
51.5,19.33144258,226.76494421
51.6,19.13111615,226.17507312
51.7,18.93286565,225.58673628
51.8,18.73666957,224.9999297
51.9,18.54250661,224.4146494
52,18.3503557,223.8308914
